Ruas Jalan Tol,Gerbang Masuk,Gerbang Keluar,Golongan Kendaraan,Tarif Tol
Akses Tanjung Priok,"Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)","Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)",Golongan I,"15,000.00"
Akses Tanjung Priok,"Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)","Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)",Golongan II,"22,500.00"
Akses Tanjung Priok,"Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)","Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)",Golongan III,"22,500.00"
Akses Tanjung Priok,"Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)","Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)",Golongan IV,"30,000.00"
Akses Tanjung Priok,"Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)","Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)",Golongan V,"30,000.00"
Akses Tanjung Priok,"Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)","Seksi E-1, E-2, E-2A, NS dan NS-Direct (Rorotan-Kebon Bawang)",Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Selatan,Golongan I,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Selatan,Golongan II,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Selatan,Golongan III,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Selatan,Golongan IV,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Selatan,Golongan V,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Selatan,Golongan VI,TARIF TIDAK DITEMUKAN
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Utara,Golongan I,"3,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Utara,Golongan II,"5,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Utara,Golongan III,"5,500.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Utara,Golongan IV,"7,000.00"
Bakauheni - Terbanggi Besar - Kayu Agung,Bakauheni Selatan,Bakauheni Utara,Golongan V,"7,000.00"
